"ServerName","TimeStamp","Results"
"RKCQAAPP1","2014-11-22T01:52:58","Up"
"RKCQASQL1","2014-11-22T01:52:59","Up"
"RKCSITAPP1","2014-11-22T01:52:59","Up"
"RKCSITSQL1","2014-11-22T01:52:59","Up"
"RKCTFIXAPP1","2014-11-22T01:52:59","Up"
"RKCUATAPP1","2014-11-22T01:52:59","Up"
"RKCUATAPP2","2014-11-22T01:52:59","Up"
"RKCUATREP1","2014-11-22T01:52:59","Up"
"RKCUATSQL1","2014-11-22T01:52:59","Up"
"RKSCOMUATSQL1","2014-11-22T01:52:59","Up"
"RKSTECQA01","2014-11-22T01:52:59","Up"
"RKSTRTNQAAPP1","2014-11-22T01:52:59","Up"
"RKSTRTNQASQL1","2014-11-22T01:52:59","Up"
"RKSTRTNUATAPP1","2014-11-22T01:52:59","Up"
"RKSTRTNUATSQL1","2014-11-22T01:52:59","Up"
"RKSWWEBQA1","2014-11-22T01:52:59","Up"
"RKSWWEBQAAPP1","2014-11-22T01:52:59","Up"
